price,vin,stock,model,body,exterior,interior,engine,location
" $37,820",3TMCZ5AN4LM338948,LM338948,7544,TRD Off Road Double Cab 5' Bed V6 AT,Blue,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,205",3TMCZ5AN5LM298878,LM298878,7544,TRD Off Road Double Cab 5' Bed V6 AT,Black,Black/Orange,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,921",2T3EWRFVXLW078376,LW078376,4456,Sport Utility,Silver Sky Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $38,029",JTMEWRFV7LJ039954,LJ039954,4456,Sport Utility,Magnetic Gray Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $38,042",JTMDWRFV2LD058860,LD058860,4454,Sport Utility,White,Light Gray,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $37,853",JTMDWRFV1LD060566,LD060566,4454,Sport Utility,Gray,Light Gray,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $37,686",3TMCZ5AN8LM342792,LM342792,7544,TRD Off Road Double Cab 5' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,650",3TMDZ5BN5LM080278,LM080278,7566,TRD Sport Double Cab 6' Bed V6 AT,Black,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,409",3TMCZ5AN6LM326638,LM326638,7542,TRD Sport Double Cab 5' Bed V6 AT,Silver,Black/Orange,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,254",2T3EWRFVXLW076126,LW076126,4456,Sport Utility,Magnetic Gray Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $37,541",3TYSZ5AN9LT001093,LT001093,7560,TRD Sport Access Cab 6' Bed V6 AT,Silver,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,686",3TMCZ5AN0LM342821,LM342821,7544,TRD Off Road Double Cab 5' Bed V6 AT,White,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,580",3TMCZ5ANXLM315500,LM315500,7544,TRD Off Road Double Cab 5' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,248",3TMCZ5AN7LM299370,LM299370,7542,TRD Sport Double Cab 5' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $40,228",2T3DWRFV6LW059352,LW059352,4454,Sport Utility,Gray,Light Gray,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $40,132",JTEBU5JR3L5773572,L5773572,8670,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $39,661",JTMDWRFV0LD057612,LD057612,4454,Sport Utility,Gray,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $39,985",JTEBU5JRXL5737605,L5737605,8670,Sport Utility,Red,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $40,170",5TFUY5F1XLX904621,LX904621,8341,Double Cab,Black,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $39,892",4T1E21FB6LU016579,LU016579,3507,Sedan,Red,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $38,053",JTMEWRFV2LJ037884,LJ037884,4456,Sport Utility,Silver Sky Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $38,342",5TDBZRBH0LS018067,LS018067,6948,Sport Utility,Gold,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $38,265",2T3N1RFV1LW093086,LW093086,4452,Sport Utility,Black,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $39,087",3TMCZ5AN3LM300028,LM300028,7544,TRD Off Road Double Cab 5' Bed V6 AT,Tan,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $38,299",JTMEWRFVXLJ040242,LJ040242,4456,Sport Utility,Blizzard Pearl,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $38,757",JTEBU5JR5L5743666,L5743666,8664,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $38,610",3TMDZ5BN6LM088311,LM088311,7568,TRD Off Road Double Cab 6' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $38,567",5TDBZRBH5LS006092,LS006092,6948,Sport Utility,Gray,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $38,163",2T3DWRFV4LW058197,LW058197,4454,Sport Utility,White,Nutmeg,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $40,692",5TDYZ3DC6LS039269,LS039269,5349,Mini-Van,Red,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,301",4T1HZ1FB0LU042801,LU042801,3548,Sedan,Blue,Graphite,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,277",5TDGZRBH0LS022982,LS022982,6953,Sport Utility,Red,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,333",5TDGZRBH4LS507464,LS507464,6953,Sport Utility,White,Harvest Beige,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,230",5TFCZ5AN8LX230777,LX230777,7545,TRD Off Road Double Cab 5' Bed V6 MT,Gray,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,105",5TDDZ3DC3LS244319,LS244319,5376,Mini-Van,Red,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,350",4T1HZ1FB0LU045326,LU045326,3548,Sedan,Silver,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,048",5TDGZRBH3LS018845,LS018845,6953,Sport Utility,Gold,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,092",JTEBU5JR2L5777645,L5777645,8666,Sport Utility,Silver,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $41,048",5TDGZRBH3LS017534,LS017534,6953,Sport Utility,Blue,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $40,950",5TDYZ3DC7LS056145,LS056145,5349,Mini-Van,Red,Bisque,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,007",5TDGZRBH7LS505420,LS505420,6953,Sport Utility,Black,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $40,826",JTEBU5JR4L5764749,L5764749,8666,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $40,826",JTEBU5JR0L5754722,L5754722,8666,Sport Utility,Blue,Sand Beige,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $40,766",5TDDZ3DC3LS243672,LS243672,5376,Mini-Van,Gray,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,352",5TDHZRBHXLS017888,LS017888,6953,Sport Utility,Gray,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,131",5TDHZRBH2LS500467,LS500467,6953,Sport Utility,Silver,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,239",JTEBU5JRXL5778316,L5778316,8672,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $41,919",5TDHZRBH4LS502320,LS502320,6953,Sport Utility,Silver,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,128",5TDHZRBH9LS023438,LS023438,6953,Sport Utility,Black,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,368",4T1DZ1FB0LU044286,LU044286,3554,Sedan,White,Graphite,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,246",4T1FZ1FB6LU043765,LU043765,3557,Sedan,White,Black/Red,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,825",5TDHZRBH7LS024555,LS024555,6953,Sport Utility,Gray,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,867",5TDHZRBH7LS011336,LS011336,6953,Sport Utility,Blue,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,635",5TFUY5F14LX888125,LX888125,8341,Double Cab,Black,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $41,746",5TDGZRBH8LS013799,LS013799,6953,Sport Utility,Black,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,392",5TFUY5F15LX929331,LX929331,8341,Double Cab,Black,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $41,867",5TDHZRBHXLS503102,LS503102,6953,Sport Utility,Black,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,613",5TFUY5F16LX915776,LX915776,8341,Double Cab,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $41,426",5TDGZRBH7LS017097,LS017097,6953,Sport Utility,White,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $43,919",3TMCZ5AN4LM336097,LM336097,7542,TRD Sport Double Cab 5' Bed V6 AT,Silver,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,356",5TDHZRBH3LS500090,LS500090,6953,Sport Utility,White,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $43,515",5TFDY5F10LX929110,LX929110,8361,CrewMax,Black,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $43,598",3TMCZ5AN8LM332733,LM332733,7542,TRD Sport Double Cab 5' Bed V6 AT,Black,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $43,091",5TDDZ3DC3LS241338,LS241338,5377,Mini-Van,Gray,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $44,037",5TFDY5F10LX922383,LX922383,8361,CrewMax,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $43,340",3TMCZ5AN3LM336639,LM336639,7542,TRD Sport Double Cab 5' Bed V6 AT,Red,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,815",JTEBU5JR4L5799470,L5799470,8672,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $42,815",JTEBU5JR6L5804765,L5804765,8672,Sport Utility,White,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $42,816",JTEBU5JR4L5798156,L5798156,8672,Sport Utility,Red,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $42,816",JTEBU5JR2L5801569,L5801569,8672,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $43,090",5TDDZ3DC1LS240883,LS240883,5377,Mini-Van,Silver,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,672",5TDHZRBH9LS506766,LS506766,6953,Sport Utility,Silver,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,562",3TMDZ5BN5LM091071,LM091071,7566,TRD Sport Double Cab 6' Bed V6 AT,Gray,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,427",4T1D21FB2LU017031,LU017031,3514,Sedan,Blue,Graphite,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $46,668",5TFBY5F1XLX883616,LX883616,8352,Double Cab,Gray,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $46,903",5TFCZ5AN0LX221975,LX221975,7598,TRD Pro Double Cab 5' Bed V6 AT,White,BLACK/BLACK,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $45,916",JTEBU5JR0L5801957,L5801957,8668,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $44,051",5TFDY5F19LX928733,LX928733,8361,CrewMax,Silver,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $45,796",5TDHBRCH1LS001484,LS001484,6965,Sport Utility,Gray,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $46,986",5TFCZ5AN8LX215566,LX215566,7598,TRD Pro Double Cab 5' Bed V6 AT,White,BLACK/BLACK,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $47,544",5TFBY5F11LX917281,LX917281,8352,Double Cab,White,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $45,659",5TDDZRBH5LS023712,LS023712,6956,Sport Utility,Black,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $45,170",5TDDZRBH8LS013465,LS013465,6956,Sport Utility,Gold,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $45,483",JTEBU5JRXL5766327,L5766327,8668,Sport Utility,White,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $45,324",JTEBU5JR6L5750867,L5750867,8667,Sport Utility,Silver,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $44,166",5TFDY5F15LX929572,LX929572,8361,CrewMax,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $44,902",5TFUY5F17LX900056,LX900056,8341,Double Cab,Blue,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $44,055",JTEBU5JRXL5805613,L5805613,8667,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $44,741",JTEBU5JR4L5800763,L5800763,8667,Sport Utility,Silver,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $49,581",5TDXBRCH8LS001834,LS001834,6966,Sport Utility,White,Gray,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $67,224",5TDBY5G1XLS177721,LS177721,7928,Sport Utility,Green,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $51,670",5TFAY5F10LX892255,LX892255,8376,CrewMax,Black,Brown/Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $54,125",5TFAY5F1XLX916982,LX916982,8376,CrewMax,Gray,Brown/Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $47,626",JTEBU5JRXL5802419,L5802419,8669,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $66,384",5TDDY5G17LS177961,LS177961,7933,Sport Utility,Silver,Redrock/Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $51,680",JTEBU5JRXL5805899,L5805899,8674,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $48,859",5TFHY5F15LX894534,LX894534,8372,CrewMax,Gray,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $48,668",5TDFZRBH0LS025733,LS025733,6957,Sport Utility,White,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $48,570",5TDDZ3DC4LS241946,LS241946,5387,Mini-Van,White,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $48,859",5TFHY5F12LX897391,LX897391,8372,CrewMax,White,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $47,627",JTEBU5JR8L5800779,L5800779,8669,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $48,429",5TFHY5F15LX892220,LX892220,8372,CrewMax,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
